enormously,tremendously,tremendously,correct
provisions,stipulations,jurisdictions,wrong
haphazardly,randomly,densely,wrong
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,decline,wrong
flawed,imperfect,lustrous,wrong
urgently,desperately,tentatively,wrong
consumed,eaten,eaten,correct
advent,coming,financing,wrong
concisely,succinctly,freely,wrong
salutes,greetings,privileges,wrong
solitary,alone,restless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,skill,wrong
fanciful,imaginative,apparent,wrong
showed,demonstrated,published,wrong
constantly,continually,continually,correct
issues,subjects,benefits,wrong
furnish,supply,protect,wrong
costly,expensive,complicated,wrong
recognized,acknowledged,welcomed,wrong
spot,location,location,correct
make,earn,print,wrong
often,frequently,chemically,wrong
easygoing,relaxed,boring,wrong
debate,argument,competition,wrong
narrow,thin,freezing,wrong
arranged,planned,discarded,wrong
infinite,limitless,unusual,wrong
showy,striking,entertaining,wrong
levied,imposed,correlated,wrong
deftly,skillfully,prudently,wrong
distribute,circulate,research,wrong
discrepancies,differences,wavelengths,wrong
prolific,productive,capable,wrong
unmatched,unequaled,emulated,wrong
peculiarly,uniquely,suspiciously,wrong
hue,color,contrast,wrong
hind,rear,rear,correct
highlight,accentuate,accentuate,correct
hastily,hurriedly,habitually,wrong
temperate,mild,windy,wrong
grin,smile,joke,wrong
verbally,orally,overtly,wrong
physician,doctor,doctor,correct
essentially,basically,eagerly,wrong
keen,sharp,simple,wrong
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,continuously,wrong
built,constructed,organized,wrong
tasks,jobs,jobs,correct
unlikely,improbable,disagreeable,wrong
halfheartedly,apathetically,unconventionally,wrong
annals,chronicles,chronicles,correct
wildly,furiously,abruptly,wrong
hailed,acclaimed,acclaimed,correct
command,mastery,mastery,correct
concocted,devised,requested,wrong
prospective,potential,prominent,wrong
generally,broadly,broadly,correct
sustained,prolonged,refined,wrong
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,harshness,wrong
dissipate,disperse,isolate,wrong
primarily,chiefly,cautiously,wrong
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,possible,correct
expeditiously,rapidly,actually,wrong
percentage,proportion,proportion,correct
terminated,ended,evaluated,wrong
uniform,alike,alike,correct
figure,solve,solve,correct
sufficient,enough,enough,correct
fashion,manner,manner,correct
marketed,sold,sweetened,wrong
bigger,larger,better,wrong
roots,origins,rituals,wrong
normally,ordinarily,periodically,wrong
